Categoria/Cartella;Nome File (Titolo Attuale);Keywords Specifiche Proposte;Descrizione Visiva (DA COMPILARE)
Fiori per Animali/Margherite : Gerbere FA;margherite-gerbere-00001-fiori-loculo-cimitero-siracusa.webp;margherite, gerbere, 00001, fiori, loculo, cimitero, siracusa;Vaso di Gerbere arancioni sopra una lapide al cimitero di Siracusa
Fiori per Animali/Margherite : Gerbere FA;margherite-gerbere-00002-consegna-chiesa-freschi-udine.webp;margherite, gerbere, 00002, consegna, chiesa, freschi, udine;Vaso di Gerbere bianche sopra una lapide al cimitero tramonto al cimitero di Udine
Fiori per Animali/Margherite : Gerbere FA;margherite-gerbere-00003-consegna-tomba-loculo-brescia.webp;margherite, gerbere, 00003, consegna, tomba, loculo, brescia;Vaso di Gerbere gialle sopra una lapide al cimitero di Brescia
Fiori per Animali/Margherite : Gerbere FA;margherite-gerbere-00004-floremoria-chiesa-tomba-monza.webp;margherite, gerbere, 00004, floremoria, chiesa, tomba, monza;Vaso di Margherite bianche sopra una lapide al cimitero di Monza con rose e gigli
Fiori per Funerale/bouquet-cordoglio-sincero;bouquet-cordoglio-sincero-consegna-funerale-cimitero-latina.webp;bouquet, cordoglio, sincero, consegna, funerale, cimitero, latina;Bouquet di fiori di stagione posati dalle mani del fiorista su una lastra di marmo bianco all’interno di una casa funeraria di Latina con il bigliettino di cordoglio
Fiori per Funerale/bouquet-cordoglio-sincero;composizione-floreale-funerale-cordoglio-tomba-lutto-parma.webp;composizione, floreale, funerale, cordoglio, tomba, lutto, parma;Bouquet di fiori di stagione gialli posati da una mano del fiorista su una lastra di marmo bianco all’interno di una casa funeraria con il bigliettino di cordoglio
Fiori per Funerale/bouquet-cordoglio-sincero;fiori-bianchi-funerale-cordoglio-sincero-freschi-milano.webp;fiori, bianchi, funerale, cordoglio, sincero, freschi, milano;Bouquet di girasoli e rose bianche posati dalla mano del fiorista su una lastra di marmo bianco all’interno di una casa funeraria di Milano con il bigliettino di cordoglio
Fiori per Funerale/bouquet-cordoglio-sincero;mazzo-fiori-condoglianze-sincere-loculo-freschi-reggio-calabria.webp;mazzo, fiori, condoglianze, sincere, loculo, freschi, reggio-calabria;Bouquet di rose rosse e bianche posati dalla mano del fiorista su una lastra di marmo bianco all’interno di una casa funeraria di Reggio Calabria con il bigliettino di cordoglio e lumino acceso
Fiori per Funerale/bouquet-memoria-eterna;bouquet-memoria-eterna-fiori-funerale-tomba-catania.webp;bouquet, memoria, eterna, fiori, funerale, tomba, catania;Bouquet elegante di rose rosse e gigli posati su una lastra di marmo grigio all’interno di una casa funeraria elegante di Catania con il bigliettino di cordoglio e il lumino acceso, petali sulla lastra
Fiori per Funerale/bouquet-memoria-eterna;composizione-funebre-memoria-eterna-tomba-chiesa-bolzano.webp;composizione, funebre, memoria, eterna, tomba, chiesa, bolzano;Bouquet elegante di rose bianche e calle posati su una lastra di marmo grigio all’interno di una casa funeraria elegante di Bolzano con il bigliettino di cordoglio e il lumino acceso, petali bianchi sulla lastra
