stripeId,type,reportingCategory,description,amountEuro,feeEuro,netEuro,currency,status,createdAtStripe,availableOn,sourceId,payoutId,orderId,syncedAt
"stripe_eu_tx_txn_3Rnx6dRrkwwcYwep0xf7e8bI","payment","charge","",0.00,0.16,-0.16,eur,"available",2025-07-23T07:28:54.000Z,2025-07-28T00:00:00.000Z,"py_3Rnx6dRrkwwcYwep0gRIRKpe","","",2026-08-22T17:18:18.242Z
"stripe_eu_tx_txn_3RnzCxRrkwwcYwep1sZVzu6X","payment","charge","",0.00,0.20,-0.20,eur,"available",2025-07-23T09:43:33.000Z,2025-07-28T00:00:00.000Z,"py_3RnzCxRrkwwcYwep1QOCNp4f","","",2026-08-22T17:18:18.050Z
"stripe_eu_tx_txn_1RoCjURrkwwcYwepZIgZYoHs","payout","payout","STRIPE PAYOUT",-196.74,0.00,-196.74,eur,"available",2025-07-24T00:10:00.000Z,2025-07-24T00:10:00.000Z,"po_1RoCjURrkwwcYwep5qhFAwDx","","",2026-08-22T17:18:17.849Z
"stripe_eu_tx_po_1RoCjURrkwwcYwep5qhFAwDx","payout","payout","STRIPE PAYOUT",-196.74,0.00,-196.74,eur,"paid",2025-07-24T00:10:00.000Z,2025-07-24T00:00:00.000Z,"","stripe_eu_tx_po_1RoCjURrkwwcYwep5qhFAwDx","",2026-08-22T17:18:23.137Z
"stripe_eu_tx_txn_3RrxUjRrkwwcYwep0RbN6k7u","charge","charge","",32.48,0.74,31.74,eur,"available",2025-08-03T08:42:19.000Z,2025-08-07T00:00:00.000Z,"ch_3RrxUjRrkwwcYwep0xVLQ41m","","",2026-08-22T17:18:17.753Z
"stripe_eu_tx_po_1RtHRERrkwwcYwepbwqRhy78","payout","payout","STRIPE PAYOUT",-31.38,0.00,-31.38,eur,"paid",2025-08-07T00:12:08.000Z,2025-08-07T00:00:00.000Z,"","stripe_eu_tx_po_1RtHRERrkwwcYwepbwqRhy78","",2026-09-06T20:46:56.884Z
"stripe_eu_tx_txn_1RtHRFRrkwwcYwep0hVXdZuu","payout","payout","STRIPE PAYOUT",-31.38,0.00,-31.38,eur,"available",2025-08-07T00:12:08.000Z,2025-08-07T00:12:08.000Z,"po_1RtHRERrkwwcYwepbwqRhy78","","",2026-09-06T20:46:52.203Z
"stripe_eu_tx_txn_3RtUfIRrkwwcYwep196LBZ7K","charge","charge","",29.99,0.70,29.29,eur,"available",2025-08-07T14:19:34.000Z,2025-08-12T00:00:00.000Z,"ch_3RtUfIRrkwwcYwep1waDoqbI","","",2026-09-06T20:46:52.107Z
"stripe_eu_tx_txn_3RtUfIRrkwwcYwep1MQnEUnU","refund","refund","REFUND FOR CHARGE",-29.99,0.00,-29.99,eur,"available",2025-08-10T11:52:20.000Z,2025-08-12T00:00:00.000Z,"re_3RtUfIRrkwwcYwep1WM9gERD","","",2026-09-06T20:46:51.884Z
"stripe_eu_tx_txn_3Rvf0VRrkwwcYwep0NtxUfUo","charge","charge","",199.99,6.75,193.24,eur,"available",2025-08-13T13:46:24.000Z,2025-08-18T00:00:00.000Z,"ch_3Rvf0VRrkwwcYwep0WmvHxbM","","",2026-09-06T20:46:51.788Z
