data;numero_ordine;importo;stato_pagamento;stato_ordine;data_consegna;incasso_trovato;riferimento_incasso;VERDETTO
2026-05-20;FT-PA-26-002;"31,48";UNPAID;CANCELLED;2026-05-22;sì;"Stripe stripe_tx_txn_3TZBFq4W4pZWhSUs1kRE0CNZ 2026-05-20 31,48€ (±5g)";
2026-07-30;FT-CS-26-004;"31,48";UNPAID;COMPLETED;2026-08-01;sì;"Stripe txn_3TyuIF4W4pZWhSUs0hkSIqAs 2026-07-30 31,48€ (±5g)";
2026-08-17;FT-CS-26-005;"31,48";UNPAID;COMPLETED;2026-08-19;sì;"Stripe stripe_tx_txn_3U5R2d4W4pZWhSUs0z67gjHy 2026-08-17 31,48€ (±5g)";
2026-05-20;FT-PA-26-003;"31,48";PAID;COMPLETED;2026-05-22;sì;"Stripe txn_3TZBFq4W4pZWhSUs1kRE0CNZ 2026-05-20 31,48€ (±5g)";
2026-05-20;FT-CS-26-001;"31,48";PAID;COMPLETED;2026-05-22;sì;"Stripe txn_3TZBBT4W4pZWhSUs19WmIUfU 2026-05-20 31,48€ (±5g)";
2026-06-17;FT-CS-26-002;"31,48";PAID;COMPLETED;2026-06-19;sì;"Stripe txn_3TjJKX4W4pZWhSUs0oQvh7vx 2026-06-17 31,48€ (±5g)";
2026-06-17;FT-PA-26-004;"31,48";PAID;COMPLETED;2026-06-19;sì;"Stripe txn_3TjJBK4W4pZWhSUs1SYv8DdG 2026-06-17 31,48€ (±5g)";
2026-07-04;FF-PA-26-001;"144,98";PAID;COMPLETED;2026-07-04;sì;"Stripe txn_3TpOrX4W4pZWhSUs03In3uTa 2026-07-04 144,98€ (±5g)";
2026-07-04;FT-PA-26-005;"31,48";PAID;COMPLETED;2026-07-06;sì;"Stripe txn_3TpPJU4W4pZWhSUs1xG9UPO0 2026-07-04 31,48€ (±5g)";
2026-07-04;FT-CS-26-003;"31,48";PAID;COMPLETED;2026-07-06;sì;"Stripe txn_3TpPFc4W4pZWhSUs0a5P7iqY 2026-07-04 31,48€ (±5g)";
2026-07-30;FT-PA-26-007;"31,48";PAID;COMPLETED;2026-08-01;sì;"Stripe txn_3TyuTV4W4pZWhSUs0M1W5j6g 2026-07-30 31,48€ (±5g)";
2026-08-17;FT-CS-26-006;"31,48";PAID;COMPLETED;2026-08-19;sì;"Stripe txn_3U5R2d4W4pZWhSUs0z67gjHy 2026-08-17 31,48€ (±5g)";
2026-08-17;FT-PA-26-008;"31,48";PAID;COMPLETED;2026-08-19;sì;"Stripe txn_3U5QyD4W4pZWhSUs13SNdOmE 2026-08-17 31,48€ (±5g)";
2026-09-01;FT-CS-26-007;"31,48";PAID;COMPLETED;2026-09-04;sì;Order.stripeTransactionId=txn_3UAtNU4W4pZWhSUs0DFIwZXL;
2026-09-01;FT-PA-26-009;"31,48";PAID;IN_PROGRESS;2026-09-04;sì;Order.stripeTransactionId=txn_3UAtR64W4pZWhSUs1J3PImQy;
